,air_speed,temperature,acid_conc,ammonia_losses,predicted,loss
0,80.0,27.0,89.0,42.0,38.764500000000005,3.2354999999999947
1,80.0,27.0,88.0,37.0,38.916599999999995,-1.9165999999999954
2,75.0,25.0,90.0,37.0,32.4438,4.556199999999997
3,62.0,24.0,87.0,28.0,22.302,5.698
4,62.0,22.0,87.0,18.0,19.711400000000005,-1.7114000000000047
5,62.0,23.0,87.0,18.0,21.006700000000002,-3.006700000000002
6,62.0,24.0,93.0,19.0,21.389400000000002,-2.389400000000002
7,62.0,24.0,93.0,20.0,21.389400000000002,-1.389400000000002
8,58.0,23.0,87.0,15.0,18.1443,-3.144300000000001
9,58.0,18.0,80.0,14.0,12.732500000000002,1.2674999999999983
10,58.0,18.0,89.0,14.0,11.363599999999998,2.636400000000002
11,58.0,17.0,88.0,13.0,10.220400000000005,2.779599999999995
12,58.0,18.0,82.0,11.0,12.4283,-1.4283000000000001
13,58.0,19.0,93.0,12.0,12.0505,-0.050499999999999545
14,50.0,18.0,89.0,8.0,5.638799999999996,2.3612000000000037
15,50.0,18.0,86.0,7.0,6.095099999999995,0.9049000000000049
16,50.0,19.0,72.0,8.0,9.519799999999996,-1.5197999999999965
17,50.0,19.0,79.0,8.0,8.455100000000002,-0.4551000000000016
18,50.0,20.0,80.0,9.0,9.598300000000002,-0.5983000000000018
19,56.0,20.0,82.0,15.0,13.587699999999998,1.4123000000000019
20,70.0,20.0,91.0,15.0,22.237199999999994,-7.237199999999994
